QEI Point ID,Station,Point,Description,Comm,RTU,Page,Point,Analog #,Relay,Relay,Scale Factor,Point Type,HELPER COLUMN,IP,DNP Address,DNP Point #,,
35237,ME,TX1HI,ME TX1 TANK HI OIL,1,11,4,8,,,,,STATUS,METX1HISTATUS,172.16.3.81,1,39,,
35238,ME,LTC1LO,ME TX1 LTC TANK LO OIL,1,11,4,9,,,,,STATUS,MELTC1LOSTATUS,172.16.3.81,1,41,,
35239,ME,TC1PWR,ME TX1 LTC LOSS OF POWER,1,11,4,10,,,,,STATUS,METC1PWRSTATUS,172.16.3.81,1,42,,
35240,ME,TCP1,ME TX1 LTC OFF TAP,1,11,4,11,,,,,STATUS,METCP1STATUS,172.16.3.81,1,43,,
35241,ME,LTCMT1,ME TX1 LTC MOTOR HI TEMP,1,11,4,12,,,,,STATUS,MELTCMT1STATUS,172.16.3.81,1,44,,
35242,ME,TCPR1,ME TX1 LTC PRS RELIEF,1,11,4,13,,,,,STATUS,METCPR1STATUS,172.16.3.81,1,45,,
35243,ME,86X1,ME TX1 LTC LCKOUT,1,11,4,14,,,,,STATUS,ME86X1STATUS,172.16.3.81,1,46,,
35244,ME,T1FAN1,ME TX1 STAGE1 FANS ON,1,11,4,15,,,,,STATUS,MET1FAN1STATUS,172.16.3.81,1,47,,
35244,ME,T1FAN1,TX STAGE 1 FANS OFF,1,11,,,,18,1,,RELAY,MET1FAN1RELAY,172.16.3.81,1,6,,
35244,ME,T1FAN1,TX STAGE 1 FANS ON,1,11,,,,18,0,,RELAY,MET1FAN1RELAY,172.16.3.81,1,6,,
35245,ME,T1FAN2,ME TX1 STAGE2 FANS ON,1,11,5,0,,,,,STATUS,MET1FAN2STATUS,172.16.3.81,1,48,,
35245,ME,T1FAN2,TX STAGE 2 FANS OFF,1,11,,,,19,1,,RELAY,MET1FAN2RELAY,172.16.3.81,1,7,,
35245,ME,T1FAN2,TX STAGE 2 FANS ON,1,11,,,,19,0,,RELAY,MET1FAN2RELAY,172.16.3.81,1,7,,
35246,ME,35C111,ME TX1 ALARMS COMM,1,11,5,1,,,,,STATUS,ME35C111STATUS,172.16.3.81,1,124,,
35302,ME,2UF,ME BKR 2 UNDER FREQ TRIP,1,11,2 ,9,,,,,STATUS,ME2UFSTATUS,172.16.3.81,1,82,,
35918,ME,2BF,ME BKR 2 BKR FAIL,1,11,6,6,,,,,STATUS,ME2BFSTATUS,172.16.3.81,1,83,,
36609,ME,MET1CP,ME TX1 METERING COMM,1,11,5,2,,,,,STATUS,MEMET1CPSTATUS,172.16.3.81,1,121,,
36896,ME,79LO1,ME BKR 1 LCKOUT,1,11,5,3,,,,,STATUS,ME79LO1STATUS,172.16.3.81,1,74,,
36897,ME,79LO2,ME BKR 2 LCKOUT,1,11,5,4,,,,,STATUS,ME79LO2STATUS,172.16.3.81,1,86,,
36898,ME,79LO3,ME BKR 1 LCKOUT,1,11,5,5,,,,,STATUS,ME79LO3STATUS,172.16.3.81,1,98,,
36899,ME,79LO4,ME BKR 4 LCKOUT,1,11,5,6,,,,,STATUS,ME79LO4STATUS,172.16.3.81,1,110,,
37285,ME,1HL,ME BKR 1 HL NON-RECL,1,11,6,1,,,,,STATUS,ME1HLSTATUS,172.16.3.81,1,72,,
37285,ME,1HL,BKR 1 HOT LINE REC DISABLED,1,11,,,,3,1,,RELAY,ME1HLRELAY,172.16.3.81,1,21,,
37285,ME,1HL,BKR 1 HOT LINE REC ENABLED,1,11,,,,3,0,,RELAY,ME1HLRELAY,172.16.3.81,1,21,,
37286,ME,2HL,ME BKR 2 HL NON-RECL,1,11,6,2,,,,,STATUS,ME2HLSTATUS,172.16.3.81,1,84,,
37286,ME,2HL,BKR 2 HOT LINE REC DISABLED,1,11,,,,7,1,,RELAY,ME2HLRELAY,172.16.3.81,1,26,,
37286,ME,2HL,BKR 2 HOT LINE REC ENABLED,1,11,,,,7,0,,RELAY,ME2HLRELAY,172.16.3.81,1,26,,
37287,ME,3HL,ME BKR 3 HL NON-RECL,1,11,6,3,,,,,STATUS,ME3HLSTATUS,172.16.3.81,1,96,,
37287,ME,3HL,BKR 3 HOT LINE REC DISABLED,1,11,,,,11,1,,RELAY,ME3HLRELAY,172.16.3.81,1,31,,
37287,ME,3HL,BKR 3 HOT LINE REC ENABLED,1,11,,,,11,0,,RELAY,ME3HLRELAY,172.16.3.81,1,31,,
37288,ME,4HL,ME BKR 4 HL NON-RECL,1,11,6,4,,,,,STATUS,ME4HLSTATUS,172.16.3.81,1,108,,
37288,ME,4HL,BKR 4 HOT LINE REC DISABLED,1,11,,,,15,1,,RELAY,ME4HLRELAY,172.16.3.81,1,36,,
37288,ME,4HL,BKR 4 HOT LINE REC ENABLED,1,11,,,,15,0,,RELAY,ME4HLRELAY,172.16.3.81,1,36,,
38177,ME,35C110,ME 2100-1 ALARM COMM,1,11,7,4,,,,,STATUS,ME35C110STATUS,172.16.3.81,1,123,,
38178,ME,35C116,3530-1 DNP COMM PORT ALARM,1,11,6,10,,,,,STATUS,ME35C116STATUS,172.16.3.81,1,#N/A,,
38179,ME,2407SC,CLOCK SELF CHECK,1,11,6,11,,,,,STATUS,ME2407SCSTATUS,172.16.3.81,1,177,,
38350,ME,T1HIAL,ME TX1 CRIT HI TEMP AL,1,11,3,11,,,,,STATUS,MET1HIALSTATUS,172.16.3.81,1,56,,
05592,ME,1B,ME BKR 1B AMPS BKR TRIP,1,11,,,17,,,.29311187,ANALOG,ME1BANALOG,172.16.3.81,1,47,,
05593,ME,3PF,ME FDR 3 POWER FACTOR,1,11,,,38,,,0.1,ANALOG,ME3PFANALOG,172.16.3.81,1,63,,
05598,ME,TX1W,MELROSE WATTS,1,11,,,6,,,48,ANALOG,METX1WANALOG,172.16.3.81,1,31,,
05659,ME,P1,MELROSE ACCUMULATOR FPL,1,11, ,,,,,7.2,PULSE,MEP1PULSE,172.16.3.81,1,#N/A,,
05660,ME,RAV1,ME REG A PH VOLTS,1,11, ,,0,,,0.1,ANALOG,MERAV1ANALOG,172.16.3.81,1,24,,
05661,ME,RBV1,ME REG B PH VOLTS,1,11,1,,1,,,0.1,ANALOG,MERBV1ANALOG,172.16.3.81,1,25,,
05832,ME,2A,ME BKR 2A AMPS BKR TRIP,1,11,,,19,,,.29311187,ANALOG,ME2AANALOG,172.16.3.81,1,52,,
05839,ME,2B,ME BKR 2B AMPS BKR TRIP,1,11,,,20,,,.29311187,ANALOG,ME2BANALOG,172.16.3.81,1,53,,
05863,ME,2C,ME BKR 2C AMPS BKR TRIP,1,11,,,21,,,.29311187,ANALOG,ME2CANALOG,172.16.3.81,1,54,,
06115,ME,RCV1,RCV1,1,11,2,,2,,,0.1,ANALOG,MERCV1ANALOG,172.16.3.81,1,26,,
