QEI Point ID,Station,Point,Description,Comm,RTU,Page,Point,Analog #,Relay,Relay,Scale Factor,Point Type,HELPER COLUMN,Full Point Name,OSI SCADA ID,IP,DNP Address,DNP Point #,,
35002,ME,35C121,ME BKR 4 STATUS COMM,1,11,1,8,,,,,STATUS,STATUS35C121,ME35C121,1041034,172.16.3.81,1,134,134,1
35003,ME,35C123,TX1 2505 STAT/CNTRL COMM,1,11,1,9,,,,,STATUS,STATUS35C123,ME35C123,1041035,172.16.3.81,1,136,136,1
35004,ME,35C126,HOUSE 2505 SELF CHECK,1,11,1,10,,,,,STATUS,STATUS35C126,ME35C126,1041036,172.16.3.81,1,139,139,1
35005,ME,35C128,ME TX1 FUTURE COMM,1,11,1,11,,,,,STATUS,STATUS35C128,ME35C128,1041037,172.16.3.81,1,141,141,1
35007,ME,24T1SC,ME TX1 2411 ALARMS FAIL,1,11,2,0,,,,,STATUS,STATUS24T1SC,ME24T1SC,1041038,172.16.3.81,1,184,49,0
35007,ME,TX1TOT,ME TX1 HOT OIL TEMP,1,11,2,1,,,,,STATUS,STATUSTX1TOT,METX1TOT,1041039,172.16.3.81,1,49,184,0
35008,ME,TX1HS,ME TX1 HOT SPOT,1,11,2,2,,,,,STATUS,STATUSTX1HS,METX1HS,1041040,172.16.3.81,1,50,50,1
35009,ME,TX1LR,ME TX1 LOC/REM SW,1,11,2,3,,,,,STATUS,STATUSTX1LR,METX1LR,1041041,172.16.3.81,1,51,51,1
35010,ME,TCA1,ME TX1 LTC AUTO/MAN,1,11,2,6,,,,,STATUS,STATUSTCA1,METCA1,1041042,172.16.3.81,1,54,54,1
35010,ME,TCA1,TX LTC MANUAL,1,11,,,,20,1,,RELAY,RELAYTCA1,METCA1,1041042,172.16.3.81,1,8,54,0
35010,ME,TCA1,TX LTC AUTO,1,11,,,,20,0,,RELAY,RELAYTCA1,METCA1,1041042,172.16.3.81,1,8,54,0
35011,ME,FANHYD,HOUSE EXHAUST FAN HYRDRO,1,11,2,7,,,,,STATUS,STATUSFANHYD,MEFANHYD,1041043,172.16.3.81,1,208,208,1
35012,ME,SMOKE,ME HOUSE SMOKE,1,11,2,8,,,,,STATUS,STATUSSMOKE,MESMOKE,1041044,172.16.3.81,1,209,209,1
35014,ME,BATPWR,ME BATT POWER FAIL,1,11,2,10,,,,,STATUS,STATUSBATPWR,MEBATPWR,1041045,172.16.3.81,1,210,210,1
35015,ME,BATTDC,ME BATT DC VOLT,1,11,2,11,,,,,STATUS,STATUSBATTDC,MEBATTDC,1041046,172.16.3.81,1,211,211,1
35016,ME,BATGND,ME BATT GROUND,1,11,2,12,,,,,STATUS,STATUSBATGND,MEBATGND,1041047,172.16.3.81,1,212,212,1
