Name  ,Desc  ,Zones  ,PreSuffx  ,Comm_Line  ,RTU_Number  ,Scan_PT  ,Sev_State0  ,Sev_State1  ,Sev_State2  ,Sev_State3  ,Vcode_State0  ,Vcode_State1  ,Vcode_State2  ,Vcode_State3  ,Alarm_Task  ,Alarm_Fmt  ,APoint_01  ,APoint_02  ,APoint_03  ,APoint_04  ,APoint_05  ,APoint_06  ,APoint_07  ,APoint_08  ,APoint_09  ,APoint_10  ,Param_01  ,Param_02  ,Param_03  
"AS,RTU     ",ASTOR DIST REMOTE SEL  ,7  ,0  ,7  ,35  ,"AS  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"AS  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"RD,RTU     ",RIDGEWOOD REMOTE  ,4  ,0  ,4  ,51  ,"RD  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"RD  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"RS,RTU     ",RUSSELL REMOTE SEL  ,4  ,0  ,11  ,57  ,"RS  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"RS  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"SECI,RTU02   ",CMDSQ 0 & 2-12  ,1 2 3 4 5 6 7  ,0  ,9  ,2  ,"SECI,EFSCAN  ",3  ,4  ,4  ,4  ,0  ,0  ,0  ,0  ,          ,185  ,"SECI,PERCOM  ","SECI,TIMOUT  ","SECI,SECERR  ","SECI,WRONG  ",  ,  ,  ,"SECI,TOLPOL  ",  ,  ,0  ,1  ,0  
"SEL,RTU23   ",RTU NUMBER 23  ,2  ,0  ,2  ,23  ,"SEL ,FSCAN  ",3  ,4  ,4  ,4  ,0  ,0  ,0  ,0  ,          ,185  ,"SEL ,PERCOM  ","SEL ,TIMOUT  ","SEL ,SECERR  ","SEL ,WRONG  ",  ,  ,  ,"SEL ,TOLPOL  ",  ,  ,0  ,1  ,0  
"E2,RTU     ",ELECTRONIC SHOP REMOTE  ,2  ,0  ,1  ,63  ,"E2  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"E2  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"WA,RTU     ",WALDO REMOTE  ,1  ,0  ,1  ,3  ,"WA  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"WA  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"FSP,RTU     ",FSP VIRTUAL REMOTE SEL  ,3  ,0  ,3  ,32  ,  ,3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  
"UCI,RTU     ",UCI VIRTUAL REMOTE SEL  ,3  ,0  ,3  ,33  ,  ,3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  
"MOB,RTU     ",MOB VIRTUAL REMOTE SEL  ,7  ,0  ,4  ,24  ,  ,3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  
"FI,RTU2    ",FLEMING ISLAND VIRT RTU  ,3  ,0  ,4  ,60  ,"FI  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"G34,RTU     ",GC GEN 3&4 VIRTUAL RTU  ,3  ,0  ,11  ,41  ,  ,3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  
