record,name_to_match,OrderNo,Type,Key,Name,Stn,AOR,pState,Norm,AlarmGroup,ICAddress,FeedbackKey,pDeviceInstance,pCtrlState,pScale,HiControlLimit,LoControlLimit,Setpoint_emulation,Name_Status_Source  ,Desc  ,Zones  ,PreSuffx  ,Telem_A  ,Open_A  ,Open_B  ,Close_A  ,Normal_State  
86,"PH,4GT",86,2,"""01025004""","""PH BKR 4 GRND TRIP BLK""",025,5,222,0,1,"""""","""""",74,"""""","""""","""""","""""","""""","PH,4GT     ",PH BKR 4 GRND TRIP BLK  ,5  ,21,0  ,16  ,0  ,17  ,0
87,"PH,2431R3",87,1,"""01025005""","""REG C PH 2431 SELF CHECK""",025,5,227,0,1,"""""","""""",33,"""""","""""","""""","""""","""""","PH,2431R3  ",REG C PH 2431 SELF CHECK  ,5  ,26,1  ,  ,  ,  ,0
88,"PH,4LR",88,1,"""01025006""","""PH BKR 4 LOC/REM SW""",025,5,214,0,1,"""""","""""",7,"""""","""""","""""","""""","""""","PH,4LR     ",PH BKR 4 LOC/REM SW  ,5  ,13,0  ,  ,  ,  ,0
89,"PH,351SC3",89,1,"""01025007""","""PH BKR 3 351 SELF CHECK""",025,5,227,0,1,"""""","""""",45,"""""","""""","""""","""""","""""","PH,351SC3  ",PH BKR 3 351 SELF CHECK  ,5  ,26,1  ,  ,  ,  ,0
90,"PH,2032SC",90,1,"""01025008""","""PH 2032 SELF CHECK""",025,5,227,0,1,"""""","""""",75,"""""","""""","""""","""""","""""","PH,2032SC  ",PH 2032 SELF CHECK  ,5  ,26,1  ,  ,  ,  ,0
91,"HW,UPSBAT",91,1,"""01061001""","""UPS SYSTEM BATT""",061,7,227,0,1,"""""","""""",76,"""""","""""","""""","""""","""""","HW,UPSBAT  ",UPS SYSTEM BATT  ,7  ,26,5  ,  ,  ,  ,0
92,"SN,FS",92,5,"""02064001""","""SANDERSON FAST SCAN""",064,2,226,0,1,"""""","""""",6,"""""","""""","""""","""""","""""","SN,FS      ",SANDERSON FAST SCAN  ,2  ,25,  ,  ,  ,  ,0
93,"MX,1R",93,2,"""01033001""","""MX BKR 1 RECLOSER""",033,3,205,0,1,"""""","""""",14,"""""","""""","""""","""""","""""","MX,1R      ",MX BKR 1 RECLOSER  ,3  ,4,0  ,2  ,0  ,2  ,0
94,"BC,DOOR",94,1,"""01007003""","""BC DOOR ALARM""",007,3,203,0,1,"""""","""""",77,"""""","""""","""""","""""","""""","BC,DOOR    ",BC DOOR ALARM  ,3  ,2,3  ,  ,  ,  ,0
95,"MX,REGCSC",95,1,"""01033002""","""MX REG C STA/CTRL FAIL""",033,3,227,0,1,"""""","""""",78,"""""","""""","""""","""""","""""","MX,REGCSC  ",MX REG C STA/CTRL FAIL  ,3  ,26,1  ,  ,  ,  ,0
