32 FEP.DB
* 
	10	SCAN_DATA	0	14	35
*	Record	1s	RTAC_point_type	RTAC_address	RTAC_Number	RTAC IP	RTAC NAME	RTAC Abr	DNP Point Address	Name	DestinationKey
	259	1	1	48	36	172.17.4.81	Double Branch	DB	47	"DB,T1FAN1"	"01014008"
	260	1	1	49	36	172.17.4.81	Double Branch	DB	48	"DB,T1FAN2"	"01014008"
	261	1	1	50	36	172.17.4.81	Double Branch	DB	49	"DB,TX1TOT"	"01014008"
	262	1	1	51	36	172.17.4.81	Double Branch	DB	50	"DB,TX1HS"	"01014008"
	263	1	1	52	36	172.17.4.81	Double Branch	DB	51	"DB,TX1LR"	"01014008"
	264	1	1	53	36	172.17.4.81	Double Branch	DB	52	"DB,TX1K1"	"01014008"
	265	1	1	54	36	172.17.4.81	Double Branch	DB	53	"DB,TX1K2"	"01014008"
	266	1	1	55	36	172.17.4.81	Double Branch	DB	54	"DB,TCA1"	"01014008"
	267	1	1	56	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	268	1	1	57	36	172.17.4.81	Double Branch	DB	56	"DB,T1HIAL"	"01014008"
	269	1	1	58	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	270	1	1	59	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	271	1	1	60	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	272	1	1	61	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	273	1	1	62	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	274	1	1	63	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	275	1	1	64	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	276	1	1	65	36	172.17.4.81	Double Branch	DB	64	"DB,S3781"	"01014008"
	277	1	1	66	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	278	1	1	67	36	172.17.4.81	Double Branch	DB	66	"DB,1"	"01014008"
	279	1	1	68	36	172.17.4.81	Double Branch	DB	67	"DB,1R"	"01014008"
	280	1	1	69	36	172.17.4.81	Double Branch	DB	68	"DB,1GT"	"01014008"
