Point ID,Station,Pnuemonic,Description,COM,RTU,Pg,Status P,Analog P,Relay P,Value,Scale,Type,Helper Column,IP Address,DNPAddress,DNP Point,,
32766,DB,TX2K2,TX2 VOLT CTRL K2 ON,3,7,,,,26,1,,RELAY,DBTX2K2RELAY,172.17.4.82,1,10,,
32766,DB,TX2K2,TX2 VOLT CTRL K2 OFF,3,7,,,,26,0,,RELAY,DBTX2K2RELAY,172.17.4.82,1,10,,
32767,DB,TCA2,DB LTC2 AUTO/MAN,3,7,5,9,,,,,STATUS,DBTCA2STATUS,172.17.4.82,1,54,,
32767,DB,TCA2,LTC2 MANUAL,3,7,,,,27,1,,RELAY,DBTCA2RELAY,172.17.4.82,1,8,,
32767,DB,TCA2,LTC2 AUTO,3,7,,,,27,0,,RELAY,DBTCA2RELAY,172.17.4.82,1,8,,
32770,DB,6135S,DB HS BKR 2 BYPASS POS,3,7,5,11,,,,,STATUS,DB6135SSTATUS,172.17.4.82,1,22,,
32771,DB,S3782,DB S3782 TX2 LBI,3,7,5,12,,,,,STATUS,DBS3782STATUS,172.17.4.82,1,64,,
32771,DB,S3782,S3782 TX2 LBI CLOSE,3,7,,,,28,1,,RELAY,DBS3782RELAY,172.17.4.82,1,17,,
32771,DB,S3782,S3782 TX2 LBI OPEN,3,7,,,,28,0,,RELAY,DBS3782RELAY,172.17.4.82,1,17,,
32772,DB,351SC4,DB BKR 4 RELAY FAIL,3,7,5,13,,,,,STATUS,DB351SC4STATUS,172.17.4.82,1,192,,
32773,DB,351SC5,DB BKR 5 RELAY FAIL,3,7,5,14,,,,,STATUS,DB351SC5STATUS,172.17.4.82,1,193,,
32774,DB,351SC6,DB BKR 6 RELAY FAIL,3,7,5,15,,,,,STATUS,DB351SC6STATUS,172.17.4.82,1,194,,
06919,DB,TX1C,DB TX1 LS C AMPS,3,7,,,5,,,0.8,ANALOG,DBTX1CANALOG,172.17.4.81,1,29,,
32778,DB,3784SC,W3784 TIE BKR RELAY FAIL,3,7,6,0,,,,,STATUS,DB3784SCSTATUS,172.17.4.82,1,196,,
32776,DB,25SC2,DB TX2 STA/CTRL FAIL,3,7,6,1,,,,,STATUS,DB25SC2STATUS,172.17.4.82,1,182,,
