record,OrderNo,Type,Key,Name,Stn,AOR,pState,Norm,AlarmGroup,ICAddress,pDeviceInstance,pCtrlState,pScale,Name_Status_Source  ,Desc  ,Zones  ,PreSuffx  ,Telem_A  ,Open_A  ,Open_B  ,Close_A  ,Normal_State  
4535.0,4535.0,1.0,"""01002107""","""TX2 TANK PRESSURE RELIEF""",002,4.0,211.0,0.0,1.0,"""""",122.0,"""""","""""","BY,T2PR    ",TX2 TANK PRESSURE RELIEF  ,4  ,10.0,8  ,  ,  ,  ,0.0
4536.0,4536.0,2.0,"""01002108""","""TX1 STAGE1 FANS""",002,4.0,218.0,0.0,1.0,"""""",333.0,"""""","""""","BY,T1FAN1  ",TX1 STAGE1 FANS  ,4  ,17.0,7  ,41  ,0  ,40  ,0.0
4537.0,4537.0,1.0,"""01032057""","""MOBIL TX LOSS OF AC""",032,1.0,227.0,0.0,1.0,"""""",24.0,"""""","""""","FL,MTXAC   ",MOBIL TX LOSS OF AC  ,1  ,26.0,6  ,  ,  ,  ,0.0
4538.0,4538.0,1.0,"""01032058""","""SECI MOSW BLOCKING REL""",032,1.0,204.0,0.0,1.0,"""""",62.0,"""""","""""","FL,MSB     ",SECI MOSW BLOCKING REL  ,1  ,3.0,2  ,  ,  ,  ,0.0
4539.0,4539.0,1.0,"""01032059""","""MOBIL TX HOT OIL TEMP""",032,1.0,227.0,0.0,1.0,"""""",1.0,"""""","""""","FL,MTXTOT  ",MOBIL TX HOT OIL TEMP  ,1  ,26.0,6  ,  ,  ,  ,0.0
4540.0,4540.0,1.0,"""01032060""","""TX TANK NITRO LOW""",032,1.0,210.0,0.0,1.0,"""""",598.0,"""""","""""","FL,TXNLO   ",TX TANK NITRO LOW  ,1  ,9.0,3  ,  ,  ,  ,0.0
4541.0,4541.0,1.0,"""01032061""","""TX NITRO BOTTLE LOW PR""",032,1.0,210.0,0.0,1.0,"""""",382.0,"""""","""""","FL,TNBLO   ",TX NITRO BOTTLE LOW PR  ,1  ,9.0,3  ,  ,  ,  ,0.0
4542.0,4542.0,1.0,"""01032062""","""TX TANK NITRO HIGH PRES""",032,1.0,211.0,0.0,1.0,"""""",433.0,"""""","""""","FL,TXNHI   ",TX TANK NITRO HIGH PRES  ,1  ,10.0,3  ,  ,  ,  ,0.0
4543.0,4543.0,1.0,"""01032063""","""STAGE 1&2 FANS LOSS AC""",032,1.0,205.0,0.0,1.0,"""""",2294.0,"""""","""""","FL,TXFAC   ",STAGE 1&2 FANS LOSS AC  ,1  ,4.0,3  ,  ,  ,  ,0.0
4544.0,4544.0,1.0,"""01032064""","""SECI MOSW F8146 TO SGS""",032,1.0,203.0,0.0,1.0,"""""",2295.0,"""""","""""","FL,F8146   ",SECI MOSW F8146 TO SGS  ,1  ,2.0,2  ,  ,  ,  ,0.0
4545.0,4545.0,1.0,"""01015072""","""YARD BOX 2505-5 CPORT8""",015,4.0,227.0,0.0,1.0,"""""",236.0,"""""","""""","BW,25YBCP  ",YARD BOX 2505-5 CPORT8  ,4  ,26.0,1  ,  ,  ,  ,0.0
4546.0,4546.0,1.0,"""01015073""","""REG C 2431 CPORT 11""",015,4.0,227.0,0.0,1.0,"""""",406.0,"""""","""""","BW,32CP13  ",REG C 2431 CPORT 11  ,4  ,26.0,5  ,  ,  ,  ,0.0
4547.0,4547.0,1.0,"""01015074""","""REG A 2431 SELF CHECK""",015,4.0,227.0,0.0,1.0,"""""",1158.0,"""""","""""","BW,2431R1  ",REG A 2431 SELF CHECK  ,4  ,26.0,2  ,  ,  ,  ,0.0
4548.0,4548.0,1.0,"""01015075""","""REG B 2431 CPORT 11""",015,4.0,227.0,0.0,1.0,"""""",405.0,"""""","""""","BW,32CP12  ",REG B 2431 CPORT 11  ,4  ,26.0,5  ,  ,  ,  ,0.0
4549.0,4549.0,1.0,"""01015076""","""REG B 2431 SELF CHECK""",015,4.0,227.0,0.0,1.0,"""""",404.0,"""""","""""","BW,2431R2  ",REG B 2431 SELF CHECK  ,4  ,26.0,2  ,  ,  ,  ,0.0
4550.0,4550.0,1.0,"""01015077""","""REG A 2431 CPORT 11""",015,4.0,227.0,0.0,1.0,"""""",12.0,"""""","""""","BW,32CP11  ",REG A 2431 CPORT 11  ,4  ,26.0,5  ,  ,  ,  ,0.0
4551.0,4551.0,1.0,"""01002109""","""TX2 TANK LOW OIL""",002,4.0,210.0,0.0,1.0,"""""",183.0,"""""","""""","BY,TX2LO   ",TX2 TANK LOW OIL  ,4  ,9.0,8  ,  ,  ,  ,0.0
4552.0,4552.0,2.0,"""01002110""","""TX1 STAGE2 FANS""",002,4.0,218.0,0.0,1.0,"""""",1089.0,"""""","""""","BY,T1FAN2  ",TX1 STAGE2 FANS  ,4  ,17.0,7  ,43  ,0  ,42  ,0.0
4553.0,4553.0,1.0,"""01032065""","""SECI F806 C/S H/S DISC""",032,1.0,216.0,0.0,1.0,"""""",2296.0,"""""","""""","FL,F806    ",SECI F806 C/S H/S DISC  ,1  ,15.0,4  ,  ,  ,  ,0.0
4554.0,4554.0,1.0,"""01032066""","""FUTURE""",032,1.0,205.0,0.0,1.0,"""""",220.0,"""""","""""","FL,MAS     ",FUTURE  ,1  ,4.0,4  ,  ,  ,  ,0.0
4555.0,4555.0,1.0,"""01032067""","""BATT DC VOLT (SECI)""",032,1.0,227.0,0.0,1.0,"""""",328.0,"""""","""""","FL,BATTDC  ",BATT DC VOLT (SECI)  ,1  ,26.0,4  ,  ,  ,  ,0.0
4556.0,4556.0,1.0,"""01032068""","""SECI BKR LOCAL REMOTE SW""",032,1.0,214.0,0.0,1.0,"""""",2297.0,"""""","""""","FL,LRSECI  ",SECI BKR LOCAL REMOTE SW  ,1  ,13.0,4  ,  ,  ,  ,0.0
4557.0,4557.0,1.0,"""01032069""","""2407-1 GPS CLOCK SELF CK""",032,1.0,227.0,0.0,1.0,"""""",1403.0,"""""","""""","FL,2407SC  ",2407-1 GPS CLOCK SELF CK  ,1  ,26.0,4  ,  ,  ,  ,0.0
4558.0,4558.0,1.0,"""01032070""","""TX 735 METER SELF CK""",032,1.0,227.0,0.0,1.0,"""""",71.0,"""""","""""","FL,METSC   ",TX 735 METER SELF CK  ,1  ,26.0,4  ,  ,  ,  ,0.0
4559.0,4559.0,1.0,"""01032071""","""FL SECI TX LKOUT REL""",032,1.0,215.0,0.0,1.0,"""""",67.0,"""""","""""","FL,86T     ",FL SECI TX LKOUT REL  ,1  ,14.0,4  ,  ,  ,  ,0.0
4560.0,4560.0,8.0,"""12027010""","""PSEUDO SWITCH""",027,10.0,216.0,0.0,1.0,"""""",2298.0,"""""","""""","PS,RS3251  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15.0,  ,  ,  ,  ,0.0
4561.0,4561.0,8.0,"""12027011""","""PSEUDO SWITCH""",027,10.0,216.0,0.0,1.0,"""""",2299.0,"""""","""""","PS,RS3252  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15.0,  ,  ,  ,  ,0.0
4562.0,4562.0,8.0,"""12027012""","""PSEUDO SWITCH""",027,10.0,216.0,0.0,1.0,"""""",2300.0,"""""","""""","PS,RS3253  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15.0,  ,  ,  ,  ,0.0
4563.0,4563.0,8.0,"""12027013""","""PSEUDO SWITCH""",027,10.0,216.0,0.0,1.0,"""""",2301.0,"""""","""""","PS,RS3T21  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15.0,  ,  ,  ,  ,0.0
4564.0,4564.0,8.0,"""12027014""","""PSEUDO SWITCH""",027,10.0,216.0,0.0,1.0,"""""",2302.0,"""""","""""","PS,RS3T12  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15.0,  ,  ,  ,  ,0.0
4565.0,4565.0,8.0,"""12027015""","""PSEUDO SWITCH""",027,10.0,216.0,0.0,1.0,"""""",2303.0,"""""","""""","PS,RS3241  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15.0,  ,  ,  ,  ,0.0
