*
	41	ANALOG_CONFIG	0	9
*	KEY	pDeviceInstance
	1015	"03017032"	3210
	1016	"04015007"	3105
	1017	"03059017"	3091
	1018	"03029022"	3098
	1019	"03051008"	3423
	1020	"04025006"	3106
	1021	"03017033"	3329
	1022	"04072003"	3106
	1023	"03031027"	3090
	1024	"03033010"	3072
	1025	"04051010"	3106
	1026	"04036011"	3155
	1027	"04037008"	3106
	1028	"03023033"	3153
	1029	"03042018"	3409
	1030	"03068007"	3346
	1031	"04045010"	3106
	1032	"03036012"	3170
	1033	"03059018"	3090
	1034	"03059019"	3092
	1035	"03017034"	3237
	1036	"03072006"	3170
	1037	"04036012"	3067
	1038	"03037007"	3071
	1039	"03067011"	3145
	1040	"04045011"	3104
	1041	"03068008"	3349
	1042	"03042019"	3424
	1043	"03004021"	3173
	1044	"04037009"	3104
	1045	"04063016"	3425
	1046	"04051011"	3104
	1047	"03036013"	3424
	1048	"03059020"	3093
	1049	"04030006"	3104
	1050	"03017035"	3153
	1051	"04025007"	3104
	1052	"03029023"	3099
	1053	"03051009"	3426
	1054	"03059021"	3094
	1055	"03059022"	3095
	1056	"03004022"	3113
	1057	"04016013"	3105
	1058	"04036013"	3427
	1059	"03036014"	3369
	1060	"03031028"	3173
	1061	"03011025"	3148
	1062	"03011026"	3147
	1063	"03021019"	3097
	1064	"03011027"	3134
	1065	"03011028"	3135
	1066	"03011029"	3136
	1067	"03017036"	3130
	1068	"04003003"	3108
	1069	"03021020"	3073
	1070	"03031029"	3424
	1071	"04031005"	3428
	1072	"04031006"	3429
	1073	"03011030"	3233
	1074	"03011031"	3317
	1075	"03011032"	3145
	1076	"03011033"	3144
	1077	"03031030"	3354
	1078	"03031031"	3128
	1079	"03031032"	3340
	1080	"03031033"	3430
	1081	"04053022"	3431
	1082	"04053023"	3432
	1083	"04053024"	3433
	1084	"04053025"	3434
	1085	"04053026"	3435
	1086	"04053027"	3436
	1087	"04053028"	3437
	1088	"04053029"	3438
	1089	"04053030"	3439
	1090	"04053031"	3440
	1091	"04053032"	3441
	1092	"04053033"	3442
	1093	"04053034"	3443
	1094	"04053035"	3444
	1095	"04053036"	3445
	1096	"04053037"	3446
	1097	"04053038"	3447
	1098	"04053039"	3448
	1099	"03059023"	3096
	1100	"04053040"	3449
	1101	"04053041"	3450
	1102	"04053042"	3451
	1103	"04053043"	3452
	1104	"04053044"	3453
	1105	"04053045"	3454
	1106	"04053046"	3455
	1107	"04053047"	3456
	1108	"04053048"	3457
	1109	"04053049"	3458
	1110	"04053050"	3459
	1111	"04004004"	3460
	1112	"04053051"	3071
	1113	"04053052"	3461
	1114	"03059024"	3097
	1115	"03041010"	3085
	1116	"03022011"	3090
	1117	"03022012"	3091
